path,ext,format,width,height,mode,size_ok,mode_ok,ext_ok,pixel_min,pixel_max,status
outputs_aug_main\standardized\garpu\garpu_aug_0001.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0002.jpg,.jpg,JPEG,224,224,RGB,True,True,True,31,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0003.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0004.jpg,.jpg,JPEG,224,224,RGB,True,True,True,37,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0005.jpg,.jpg,JPEG,224,224,RGB,True,True,True,32,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0006_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0007.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0008.jpg,.jpg,JPEG,224,224,RGB,True,True,True,35,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0009.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0010.jpg,.jpg,JPEG,224,224,RGB,True,True,True,28,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0011.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0012.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0013.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0014.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0015.jpg,.jpg,JPEG,224,224,RGB,True,True,True,37,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0016.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0017.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\garpu\garpu_aug_0018.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\garpu\garpu_aug_0019.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,246,ok
outputs_aug_main\standardized\garpu\garpu_aug_0020.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0021.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,242,ok
outputs_aug_main\standardized\garpu\garpu_aug_0022.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,248,ok
outputs_aug_main\standardized\garpu\garpu_aug_0023.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\garpu\garpu_aug_0024.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\garpu\garpu_aug_0025.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0026.jpg,.jpg,JPEG,224,224,RGB,True,True,True,47,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0027.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0028.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0029.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0030.jpg,.jpg,JPEG,224,224,RGB,True,True,True,57,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0031.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0032.jpg,.jpg,JPEG,224,224,RGB,True,True,True,46,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0033.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0034.jpg,.jpg,JPEG,224,224,RGB,True,True,True,51,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0035.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0036.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0037.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0038.jpg,.jpg,JPEG,224,224,RGB,True,True,True,54,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0039.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0040.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,243,ok
outputs_aug_main\standardized\garpu\garpu_aug_0041.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\garpu\garpu_aug_0042.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,239,ok
outputs_aug_main\standardized\garpu\garpu_aug_0043.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,225,ok
outputs_aug_main\standardized\garpu\garpu_aug_0044.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,217,ok
outputs_aug_main\standardized\garpu\garpu_aug_0045.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,234,ok
outputs_aug_main\standardized\garpu\garpu_aug_0046.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,239,ok
outputs_aug_main\standardized\garpu\garpu_aug_0047.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,234,ok
outputs_aug_main\standardized\garpu\garpu_aug_0048.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0049.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0050.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,216,ok
outputs_aug_main\standardized\garpu\garpu_aug_0051.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,223,ok
outputs_aug_main\standardized\garpu\garpu_aug_0052.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,229,ok
outputs_aug_main\standardized\garpu\garpu_aug_0053.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,229,ok
outputs_aug_main\standardized\garpu\garpu_aug_0054.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,236,ok
outputs_aug_main\standardized\garpu\garpu_aug_0055.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0056.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,248,ok
outputs_aug_main\standardized\garpu\garpu_aug_0057_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,242,ok
outputs_aug_main\standardized\garpu\garpu_aug_0058.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,238,ok
outputs_aug_main\standardized\garpu\garpu_aug_0059.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,234,ok
outputs_aug_main\standardized\garpu\garpu_aug_0060.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,230,ok
outputs_aug_main\standardized\garpu\garpu_aug_0061.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0062.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\garpu\garpu_aug_0063.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\garpu\garpu_aug_0064.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,228,ok
outputs_aug_main\standardized\garpu\garpu_aug_0065.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,229,ok
outputs_aug_main\standardized\garpu\garpu_aug_0066.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,232,ok
outputs_aug_main\standardized\garpu\garpu_aug_0067.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0068.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,234,ok
outputs_aug_main\standardized\garpu\garpu_aug_0069.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,244,ok
outputs_aug_main\standardized\garpu\garpu_aug_0070.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,221,ok
outputs_aug_main\standardized\garpu\garpu_aug_0071.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,228,ok
outputs_aug_main\standardized\garpu\garpu_aug_0072.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,226,ok
outputs_aug_main\standardized\garpu\garpu_aug_0073.jpg,.jpg,JPEG,224,224,RGB,True,True,True,17,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0074.jpg,.jpg,JPEG,224,224,RGB,True,True,True,34,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0075.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0076.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0077.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0078.jpg,.jpg,JPEG,224,224,RGB,True,True,True,1,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0079.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0080.jpg,.jpg,JPEG,224,224,RGB,True,True,True,4,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0081.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0082.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,238,ok
outputs_aug_main\standardized\garpu\garpu_aug_0083.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,234,ok
outputs_aug_main\standardized\garpu\garpu_aug_0084.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,233,ok
outputs_aug_main\standardized\garpu\garpu_aug_0085.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\garpu\garpu_aug_0086.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,231,ok
outputs_aug_main\standardized\garpu\garpu_aug_0087.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,233,ok
outputs_aug_main\standardized\garpu\garpu_aug_0088.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\garpu\garpu_aug_0089.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,232,ok
outputs_aug_main\standardized\garpu\garpu_aug_0090.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,232,ok
outputs_aug_main\standardized\garpu\garpu_aug_0091.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0092.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0093.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0094.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0095.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0096.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0097.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0098.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\garpu\garpu_aug_0099.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0001.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0002.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0003.jpg,.jpg,JPEG,224,224,RGB,True,True,True,15,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0004.jpg,.jpg,JPEG,224,224,RGB,True,True,True,13,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0005.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0006.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0007.jpg,.jpg,JPEG,224,224,RGB,True,True,True,14,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0008.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0009.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0010.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0011.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0012.jpg,.jpg,JPEG,224,224,RGB,True,True,True,23,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0013.jpg,.jpg,JPEG,224,224,RGB,True,True,True,17,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0014.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0015.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0016.jpg,.jpg,JPEG,224,224,RGB,True,True,True,16,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0017.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0018.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0019.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,245,ok
outputs_aug_main\standardized\sendok\sendok_aug_0020_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0021.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0022.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,252,ok
outputs_aug_main\standardized\sendok\sendok_aug_0023.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0024.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,245,ok
outputs_aug_main\standardized\sendok\sendok_aug_0025.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,254,ok
outputs_aug_main\standardized\sendok\sendok_aug_0026.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,245,ok
outputs_aug_main\standardized\sendok\sendok_aug_0027.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0028.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\sendok\sendok_aug_0029.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,246,ok
outputs_aug_main\standardized\sendok\sendok_aug_0030.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\sendok\sendok_aug_0031.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0032.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\sendok\sendok_aug_0033_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,246,ok
outputs_aug_main\standardized\sendok\sendok_aug_0034.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\sendok\sendok_aug_0035.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,246,ok
outputs_aug_main\standardized\sendok\sendok_aug_0036.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,244,ok
outputs_aug_main\standardized\sendok\sendok_aug_0037.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0038.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0039.jpg,.jpg,JPEG,224,224,RGB,True,True,True,30,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0040.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0041.jpg,.jpg,JPEG,224,224,RGB,True,True,True,26,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0042.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0043.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0044.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0045.jpg,.jpg,JPEG,224,224,RGB,True,True,True,18,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0046.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0047_duplicate.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\sendok\sendok_aug_0048.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,252,ok
outputs_aug_main\standardized\sendok\sendok_aug_0049.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,245,ok
outputs_aug_main\standardized\sendok\sendok_aug_0050.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\sendok\sendok_aug_0051.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,244,ok
outputs_aug_main\standardized\sendok\sendok_aug_0052.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,235,ok
outputs_aug_main\standardized\sendok\sendok_aug_0053.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0054.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,230,ok
outputs_aug_main\standardized\sendok\sendok_aug_0055.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\sendok\sendok_aug_0056.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,244,ok
outputs_aug_main\standardized\sendok\sendok_aug_0057.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\sendok\sendok_aug_0058.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,237,ok
outputs_aug_main\standardized\sendok\sendok_aug_0059.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,237,ok
outputs_aug_main\standardized\sendok\sendok_aug_0060.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,243,ok
outputs_aug_main\standardized\sendok\sendok_aug_0061.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,249,ok
outputs_aug_main\standardized\sendok\sendok_aug_0062.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,248,ok
outputs_aug_main\standardized\sendok\sendok_aug_0063.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0064.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,237,ok
outputs_aug_main\standardized\sendok\sendok_aug_0065.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\sendok\sendok_aug_0066.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\sendok\sendok_aug_0067.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\sendok\sendok_aug_0068.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,254,ok
outputs_aug_main\standardized\sendok\sendok_aug_0069.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,248,ok
outputs_aug_main\standardized\sendok\sendok_aug_0070.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,240,ok
outputs_aug_main\standardized\sendok\sendok_aug_0071.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,237,ok
outputs_aug_main\standardized\sendok\sendok_aug_0072.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,239,ok
outputs_aug_main\standardized\sendok\sendok_aug_0073.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,230,ok
outputs_aug_main\standardized\sendok\sendok_aug_0074.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0075.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,235,ok
outputs_aug_main\standardized\sendok\sendok_aug_0076.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,238,ok
outputs_aug_main\standardized\sendok\sendok_aug_0077.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,235,ok
outputs_aug_main\standardized\sendok\sendok_aug_0078.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,239,ok
outputs_aug_main\standardized\sendok\sendok_aug_0079.jpg,.jpg,JPEG,224,224,RGB,True,True,True,1,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0080.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0081.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0082.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0083.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0084.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0085.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,251,ok
outputs_aug_main\standardized\sendok\sendok_aug_0086.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,253,ok
outputs_aug_main\standardized\sendok\sendok_aug_0087.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,245,ok
outputs_aug_main\standardized\sendok\sendok_aug_0088.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,250,ok
outputs_aug_main\standardized\sendok\sendok_aug_0089.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,243,ok
outputs_aug_main\standardized\sendok\sendok_aug_0090.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,241,ok
outputs_aug_main\standardized\sendok\sendok_aug_0091.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0092.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0093.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0094.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0095.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0096.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0097.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0098.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0099.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0100.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0101.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
outputs_aug_main\standardized\sendok\sendok_aug_0102.jpg,.jpg,JPEG,224,224,RGB,True,True,True,0,255,ok
